Station_Code,Month,ASB_Count,Major_Events_Count,Avg_Temp_C,Avg_Rain_mm,Probability_Raw,Predicted_ASB_Probability,Station_Label
NCL,2025-04,2,2,9.666666666666666,0.37,99.08333333333333,99.1%,NCL (04)
YRK,2025-05,1,0,9.653333333333336,0.3866666666666666,99.0,99.0%,YRK (05)
DHM,2025-04,14,0,9.933333333333334,0.3399999999999999,98.75,98.8%,DHM (04)
DON,2025-04,3,1,10.136666666666667,0.31,96.66666666666666,96.7%,DON (04)
DHM,2025-05,6,0,12.22258064516129,1.1354838709677417,96.0,96.0%,DHM (05)
DON,2025-05,1,1,13.012903225806454,1.1290322580645162,96.0,96.0%,DON (05)
PBO,2025-04,3,0,10.630000000000003,0.7066666666666668,94.41666666666666,94.4%,PBO (04)
KGX,2025-05,4,5,14.925806451612901,0.7387096774193548,91.86666666666667,91.9%,KGX (05)
NCL,2025-05,10,3,12.35483870967742,1.2193548387096778,90.0,90.0%,NCL (05)
KGX,2025-04,0,3,11.99666666666667,0.9666666666666667,41.28333333333333,41.3%,KGX (04)
